TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
12.626001,0.0,0.0,359.4864087307518,0.0,0.0,,0.0,,0.0,356.9684381923895,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.059066057205200195,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.016296000000000532,0.3920808055082933,0.0,,,0.0,8.425196850393705,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.027843769963354224,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.010925999999999547,1.0,,0.0,6.343434099007266,,8.425196850393705,,0.0,0.0,0.0,-0.38556126747544656,0.0,,0.0,,,0.0,-17.245432958405374,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.641806,0.0,0.0,1.7102259630720267,0.0,0.0,,0.0,,0.0,1.890311979527249,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.059066057205200195,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.01580500000000029,0.38741797174513615,0.0,,,0.0,8.444881889763785,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.02738731352867772,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.01960699999999882,1.0,,0.0,6.343434099007266,,8.444881889763785,,0.0,0.0,0.0,-0.3709528853955919,0.0,,0.0,,,0.0,-17.245432958405374,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.668138,0.0,0.0,359.952420424513,0.0,0.0,,0.0,,0.0,2.570154203481205,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.059066057205200195,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.026332000000000022,0.38068538352823916,0.0,,,0.0,8.36614173228347,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.028491550036614154,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.056512999999998925,1.0,,0.0,6.343434099007266,,8.36614173228347,,0.0,0.0,0.0,-0.3772552367620209,0.0,,0.0,,,0.0,-17.245432958405374,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.730324,0.0,0.0,0.8685065975220249,0.0,0.0,,0.0,-1.0,0.0,2.652076060099888,0.0,0.0,-0.22381050036854333,6.1875,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0826964285714276,0.0,-1.0,0.0,3.0,0.0,0.0,0.059066057205200195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.06218599999999874,0.3690463862120544,0.0,0.0,,0.0,8.385826771653548,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.025424276849800743,-0.0,12.700000000000001,-0.0,89.77618949963146,0.0,0.0,,1.0,0.2109375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,12.466834228515625,0.029355999999999938,1.0,,0.0,6.343434099007266,,8.385826771653548,0.0,0.0,0.0,0.0,-0.3799340896135637,0.0,-1.0,0.0,0.28076171875,6.0,0.0,-17.245432958405374,0.0,0.0,0.0,0.508544921875,1.0,0.4801047742366791,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
12.764652,0.0,0.0,0.09976894648059596,0.0,0.0,,0.0,,0.0,357.0055700649702,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.058953046798706055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.03432800000000036,0.3796945608539532,0.0,,,0.0,8.405511811023626,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.025522598827822655,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.019351999999999592,1.0,,0.0,7.147696423854603,,8.405511811023626,,0.0,0.0,0.0,-0.39514274365557184,0.0,,0.0,,,0.0,0.48606111491013615,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.793753,0.0,0.0,358.76320279509036,0.0,0.0,,0.0,,0.0,358.04150851598706,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.058953046798706055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.02910100000000071,0.3708174734926732,0.0,,,0.0,8.48425196850394,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.024164083956027683,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.021597999999999118,1.0,,0.0,7.147696423854603,,8.48425196850394,,0.0,0.0,0.0,-0.3982319264397416,0.0,,0.0,,,0.0,0.48606111491013615,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.852064,0.0,0.0,358.8848402782783,0.0,0.0,,0.0,,0.0,1.0644645933601136,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.058953046798706055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.05831099999999978,0.357315881928691,0.0,,,0.0,8.464566929133863,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.02211639467641821,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.02824899999999886,1.0,,0.0,7.147696423854603,,8.464566929133863,,0.0,0.0,0.0,-0.3881009091552228,0.0,,0.0,,,0.0,0.48606111491013615,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.892708,0.0,0.0,358.98893225184463,0.0,0.0,,0.0,,0.0,1.2133089105791972,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.058953046798706055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.040644000000000347,0.35700127349112565,0.0,,,0.0,8.405511811023626,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.024103540219763613,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.024533999999999168,1.0,,0.0,7.147696423854603,,8.405511811023626,,0.0,0.0,0.0,-0.3927158746030188,0.0,,0.0,,,0.0,0.48606111491013615,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.926116,0.0,0.0,0.23708231263474125,0.0,0.0,,0.0,,0.0,2.7037339887795198,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05850958824157715,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.03340799999999966,0.3573795668136882,0.0,,,0.0,8.464566929133863,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.02474789352867683,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.02105599999999974,1.0,,0.0,6.48715731840292,,8.464566929133863,,0.0,0.0,0.0,-0.38444740425535034,0.0,,0.0,,,0.0,0.6413630165455594,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.956566,0.0,0.0,1.6121519608587436,0.0,0.0,,0.0,,0.0,0.7164361107666277,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05850958824157715,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.030450000000000088,0.36175807592186543,0.0,,,0.0,8.405511811023626,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.02610805660559981,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.015613000000000099,1.0,,0.0,6.48715731840292,,8.405511811023626,,0.0,0.0,0.0,-0.3832776882243987,0.0,,0.0,,,0.0,0.6413630165455594,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
12.984739,0.0,0.0,0.47810860649585935,0.0,0.0,,0.0,,0.0,357.2737839146872,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05850958824157715,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.028172999999998893,0.3632637030970993,0.0,,,0.0,8.425196850393704,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.02445941106225418,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.03810000000000002,1.0,,0.0,6.48715731840292,,8.425196850393704,,0.0,0.0,0.0,-0.39602286863388675,0.0,,0.0,,,0.0,0.6413630165455594,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.035692,0.0,0.0,358.87873981583346,0.0,0.0,,0.0,,0.0,0.5096378724205334,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.05850958824157715,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.050952999999999804,0.3514033537739826,0.0,,,0.0,8.464566929133861,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.022498592478615433,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.02960600000000113,1.0,,0.0,6.48715731840292,,8.464566929133861,,0.0,0.0,0.0,-0.39768752596165813,0.0,,0.0,,,0.0,0.6413630165455594,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.07544,0.0,0.0,358.70672075001346,0.0,0.0,,0.0,,0.0,358.4997520444162,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.06363654136657715,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.03974800000000123,0.35752564584030905,0.0,,,0.0,8.405511811023626,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.02376940324784607,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.027953000000000117,1.0,,0.0,6.566476449913503,,8.405511811023626,,0.0,0.0,0.0,-0.4010637170309699,0.0,,0.0,,,0.0,-0.42604399650987057,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.111726,0.0,0.0,0.8300150676410827,0.0,0.0,,0.0,-1.0,0.0,2.7676963608393903,0.0,0.0,-2.005647371388605,6.375,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,3.271692857142856,0.0,-1.0,0.0,3.0,0.0,0.0,0.06363654136657715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.036286000000000485,0.3540923766123298,0.0,0.0,,0.0,8.425196850393704,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.027250427863230526,-0.0,12.65,-0.0,87.9943526286114,0.0,0.0,,1.0,0.21240234375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,12.42285693359375,0.03677499999999867,1.0,,0.0,6.566476449913503,,8.425196850393704,0.0,0.0,0.0,0.0,-0.38962117492335313,0.0,-1.0,0.0,0.280029296875,121.0,0.0,-0.42604399650987057,0.0,0.0,0.0,0.5078125,1.0,0.47796112298965454,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
