TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Climber Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,boolean,Cmd,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,CMD,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,bool,bool,count,boolean,RPM,deg,boolean,ft,ft,state,A,pct,state,boolean,
9.004972,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.07404200000000039,,,,,,,,,,,,,,,,,,,,,,
9.006698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.004972,,85.375,-4.686731003289424E-10,11.5,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.07904434204101562,0.0,,0.0,-1.0,0.0,0.0,0.06404099999999957,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.21973326802253723,12.177062678004779,-1.0,0.0,0.0,0.0,44.0,0.0,0.0,,,,,0.0,,0.10246380418539047,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.21826837956905365,,1.0,
9.072967,,,,,,,,,,,,,,,,,7.09375,,,,,,,,,,,,,,132.7239835125,,,,0.0,,,,,,,,,,,0.0679949999999998,,,,,,,,,,,,,,,,,,,,,,
9.073899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.072967,,85.375,-4.686731003289424E-10,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.07904434204101562,0.0,,0.0,-1.0,0.0,0.0,0.061507000000000644,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.5454267859458923,12.177062678004779,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.1357269585132599,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.5468916893005371,,1.0,
9.138459,,,,,,,,,,,,,,,,,7.1875,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.065491999999999,,,,,,,,,,,,,,,,,,,,,,
9.139118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.138459,,85.375,-4.686731003289424E-10,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1355152130126953,0.0,,0.0,-1.0,0.0,0.0,0.060757000000000616,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.39332255721092224,12.019165081038949,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.1009581983089447,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.39478743076324463,,1.0,
9.203418,,,,,,,,,,,,,,,,,7.1875,,,,,,,,,,,,,,132.7239835125,,,,0.0,,,,,,,,,,,0.06495899999999999,,,,,,,,,,,,,,,,,,,,,,
9.203858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.203418,,85.375,-4.686731003289424E-10,11.5,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1355152130126953,0.0,,0.0,-1.0,0.0,0.0,0.0563400000000005,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.36011841893196106,12.019165081038949,-1.0,0.0,0.0,0.0,59.0,0.0,0.0,,,,,0.0,,0.1283033788204193,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.3586535155773163,,1.0,
9.278262,,,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.07484400000000058,,,,,,,,,,,,,,,,,,,,,,
9.279402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.278262,,85.375,-4.686731003289424E-10,11.55,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1565101146697998,0.0,,0.0,-1.0,0.0,0.0,0.0712849999999996,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.6184270977973938,7.152206126851228,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.12136759608983994,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.6198919415473938,,1.0,
9.354062,,,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.07580000000000098,,,,,,,,,,,,,,,,,,,,,,
9.354753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.354062,,85.375,-4.686731003289424E-10,11.5,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1565101146697998,0.0,,0.0,-1.0,0.0,0.0,0.06229899999999944,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.5114902257919312,7.152206126851228,-1.0,0.0,0.0,0.0,59.0,0.0,0.0,,,,,0.0,,0.11546465009450912,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.5129551291465759,,1.0,
9.420507,,,,,,,,,,,,,,,,,7.34375,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.06644499999999987,,,,,,,,,,,,,,,,,,,,,,
9.421133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.420507,,85.375,-4.686731003289424E-10,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.14205050468444824,0.0,,0.0,-1.0,0.0,0.0,0.07210199999999922,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.7949461340904236,6.216592682619554,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.11875467002391815,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.7934812307357788,,1.0,
9.496357,,,,,,,,,,,,,,,,,7.34375,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.07584999999999908,,,,,,,,,,,,,,,,,,,,,,
9.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.496357,,85.375,-4.686731003289424E-10,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.07248735427856445,0.0,,0.0,-1.0,0.0,0.0,0.060140000000000526,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.8945585489273071,6.834575819348236,-1.0,0.0,0.0,0.0,59.0,0.0,0.0,,,,,0.0,,0.12382219731807709,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.8930936455726624,,1.0,
9.569688,,,,,,,,,,,,,,,,,7.40625,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.07333099999999959,,,,,,,,,,,,,,,,,,,,,,
9.570757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.569688,,85.375,-4.686731003289424E-10,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.07480049133300781,0.0,,0.0,-1.0,0.0,0.0,0.06238300000000052,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.45777764916419983,13.056443077536079,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.12355925142765045,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.4592425227165222,,1.0,
9.635353,,,,,,,,,,,,,,,,,7.40625,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.06566500000000097,,,,,,,,,,,,,,,,,,,,,,
9.635977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.635353,,85.375,-4.686731003289424E-10,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.07480049133300781,0.0,,0.0,-1.0,0.0,0.0,0.06423700000000032,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.31373026967048645,13.056443077536079,-1.0,0.0,0.0,0.0,26.0,0.0,0.0,,,,,0.0,,0.10707541555166245,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.31226539611816406,,1.0,
9.708049,,,,,,,,,,,,,,,,,7.40625,,,,,,,,,,,,,,132.31199625000002,,,,0.0,,,,,,,,,,,0.07269600000000054,,,,,,,,,,,,,,,,,,,,,,
9.709627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.708049,,85.375,-4.686731003289424E-10,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.07831478118896484,0.0,,0.0,-1.0,0.0,0.0,0.07063399999999831,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.8772240281105042,12.669355009227962,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.13132143020629883,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.8757591247558594,,1.0,
9.781116,,,,,,,,,,,,,,,,,7.4375,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.073067,,,,,,,,,,,,,,,,,,,,,,
9.781749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.781116,,85.375,-4.686731003289424E-10,11.5,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.07999086380004883,0.0,,0.0,-1.0,0.0,0.0,0.06859799999999971,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.9431440234184265,12.127558558793,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.10418807715177536,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.9446089267730713,,1.0,
9.858084000000002,,,,,,,,,,,,,,,,,7.40625,,,,,,,,,,,,,,132.8155362375,,,,0.0,,,,,,,,,,,0.07696799999999904,,,,,,,,,,,,,,,,,,,,,,
9.860729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.858084000000002,,85.375,-4.686731003289424E-10,11.5,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1423642635345459,0.0,,0.0,-1.0,0.0,0.0,0.066751,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.4992828071117401,11.874547729730647,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.11994675546884537,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.5007476806640625,,1.0,
9.927088,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.06900399999999962,,,,,,,,,,,,,,,,,,,,,,
9.927641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.927088,,85.375,-4.686731003289424E-10,11.4,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1423642635345459,0.0,,0.0,-1.0,0.0,0.0,0.059199000000001334,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.5776543617248535,11.874547729730647,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.1288585215806961,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.5761894583702087,,1.0,
9.988959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.7239835125,,,,0.0,,,,,,,,,,,0.06187100000000001,,,,,,,,,,,,,,,,,,,,,,
9.927088,,,,,,,62.16435356298049,,,,,,,,,,,,,,,,,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,92.7,,,,,,,,,,,,,,,,,,
9.988959,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.996583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
9.988959,,85.375,-4.686731003289424E-10,11.5,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1423642635345459,0.0,,0.0,-1.0,0.0,0.0,0.06554400000000093,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.4990386664867401,11.874547729730647,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.12974727153778076,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.5005035400390625,,1.0,
10.058693,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.0697340000000004,,,,,,,,,,,,,,,,,,,,,,
10.059275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
10.058693,,85.375,-4.686731003289424E-10,11.4,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1309981346130371,0.0,,0.0,-1.0,0.0,0.0,0.059198000000000306,0.0,,,,,,85.375,,,0.0,0.0,85.375,,0.9143345355987549,6.816736687280085,-1.0,0.0,0.0,0.0,59.0,0.0,0.0,,,,,0.0,,0.1159294843673706,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,0.9157994389533997,,1.0,
10.120498,,,,,,,,,,,,,,,,,7.53125,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.061804999999999666,,,,,,,,,,,,,,,,,,,,,,
10.121345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
10.120498,,85.375,-4.686731003289424E-10,11.4,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1309981346130371,0.0,,0.0,-1.0,0.0,0.0,0.06840500000000027,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.4756004512310028,6.816736687280085,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.12146729230880737,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.4741355776786804,,1.0,
10.191677,,,,,,,,,,,,,,,,,7.4375,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.07117900000000077,,,,,,,,,,,,,,,,,,,,,,
10.192598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
