TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Motor 2 Speed,Shooter Desired Speed,Right Intern Moter Current,Distance Sensor Raw Voltage,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Shooter Motor 1 Speed,Shooter State Command,Hopper Motor Right Current,Pneumatics Compressor Current,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Photon Cannon State,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Drivetrain Left Wheel Actual Speed,Battery Voltage,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,roboRIO CPU Load,Distance Sensor Available,Vision Raspberry Pi Framerate,Pneumatics Cutoff Switch State,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,Drivetrain Desired Heading,Intake Position State,Hopper Motor Left Current,Shooter Control Mode,
sec,bool,count,deg,RPM,RPM,A,V,cmd,color,cmd,deg,cmd,RPM,state,A,A,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,bool,sec,deg,A,degrees,pct,bool,in,bool,bool,deg,ft,ft,A,A,pct,cmd,state,deg,RPM,V,bool,pct,state,sat,RPM,bool,heightState,bool,bool,RPM,sec,pct,bool,fps,bool,deg,bool,color,A,sat,count,RPM,bool,deg,bool,A,sat,bool,pct,A,in,cmd,count,bool,RPM,bool,deg,state,A,state,
63.763777,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,0.5,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,0.0014954069629311562,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.0980599999999967,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0015259254723787308,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.063763777,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
63.763777,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.75,,,,,,,,,,-3.357041350682266E-6,0.10037900000000377,,,,,,,,,,12.0,,,,,0.0,,,0.13472218811511993,,,,0.0,0.0,,,,,,2.0,
63.865981,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,0.5,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,0.0014954069629311562,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.1022040000000004,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0015259254723787308,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.063865981,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
63.865981,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,91.1,,,,0.0,,,,,0.0,,,,,,11.75,,71.32904856260075,,,,,,,,-3.357041350682266E-6,0.10201299999999947,82.0,,,,,,,,,15.0,,,,,0.0,,,0.13870365917682648,,,,0.0,0.0,,,,,,2.0,
63.972794,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,0.5,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,0.0015564439818263054,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.10681300000000249,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0014954069629311562,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.063972794,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
63.972794,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.5,,,,,,,,,,-3.357041350682266E-6,0.10087899999999905,,,,,,,,,,12.0,,,,,0.0,,,0.13390246033668518,,,,0.0,0.0,,,,,,2.0,
64.075585,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,8.125,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,0.0014954069629311562,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.10279100000000341,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0015259254723787308,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.064075585,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
64.075585,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.45,,,,,,,,,,-3.357041350682266E-6,0.0993039999999894,,,,,,,,,,12.0,,,,,0.0,,,0.13215278089046478,,,,0.0,0.0,,,,,,2.0,
64.194813,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,6.75,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.11922799999999256,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.06419481299999999,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
64.194813,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.55,,,,,,,,,,-3.357041350682266E-6,0.10719500000000437,,,,,,,,,,41.0,,,,,0.0,,,0.14101383090019226,,,,0.0,0.0,,,,,,2.0,
64.30501,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,6.90625,0.0,,0.0,,,0.0,,91.1875,,132.6324307875,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.11019699999999943,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.06430501,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
64.30501,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.600000000000001,,,,,,,,,,-3.357041350682266E-6,0.1017530000000022,,,,,,,,,,41.0,,,,,0.0,,,0.14280739426612854,,,,0.0,0.0,,,,,,2.0,
64.408236,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,7.0625,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.10322600000000648,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.06440823600000001,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
64.408236,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.600000000000001,,,,,,,,,,-3.357041350682266E-6,0.09632499999999311,,,,,,,,,,41.0,,,,,0.0,,,0.12750381231307983,,,,0.0,0.0,,,,,,2.0,
64.506622,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,7.09375,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.09838599999999076,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.064506622,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
64.506622,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.45,,,,,,,,,,-3.357041350682266E-6,0.0960940000000079,,,,,,,,,,41.0,,,,,0.0,,,0.13607607781887054,,,,0.0,0.0,,,,,,2.0,
64.604298,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,7.15625,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.09767600000000698,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.064604298,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
