TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Drivetrain Desired Heading,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,deg,boolean,ft,ft,state,A,pct,state,cmd,boolean,
161.983094,,0.03125,-0.0,12.700000000000001,,,,-1.0,0.188232421875,,,28.515681289622016,0.0,-1.0,,0.04610419273376465,,,,-20.983429483898753,0.0,1.0,,,0.008033000000011725,0.0,,,,,,21.09375,,,-0.010318347790004623,23.75,,0.13043610751628876,6.5233987025691995,-1.0,0.34716796875,0.0,,165.0,28.495044594042007,,92.135258116515,,,,,0.464599609375,,0.3689452111721039,0.0,,0.0,,0.0,14.0,,3.4285714626312256,,92.124939768725,1.0,,,,0.0,0.13055817782878876,,,-1.0,
161.995793,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.136963875,,,0.0,,,,,,,,,,,,0.012698999999997795,,,,,,,,,,,,,,,,,,,,,,,,,
161.996386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
161.995793,,23.96875,3.4285714626312256,12.700000000000001,,,,-1.0,0.188232421875,,,28.487917286813705,0.0,-1.0,,0.04610419273376465,,,,-20.983429483898753,0.0,1.0,,,0.010368999999997186,0.0,,,,,,21.09375,,,0.01744565501830664,23.75,,0.2059389054775238,6.5233987025691995,-1.0,0.34716796875,0.0,,207.0,28.522808596850318,,92.1074941137067,,,,,0.464599609375,,0.31817272305488586,40.34375,,0.0,,0.0,16.0,,3.4285714626312256,,92.124939768725,1.0,,,,0.0,0.29734182357788086,,,-1.0,
162.008681,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.228516599999999,,,0.0,,,,,,,,,,,,0.012888000000003785,,,,,,,,,,,,,,,,,,,,,,,,,
162.009549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
162.008681,,23.96875,11.428571701049805,12.4,,,,-1.0,0.188232421875,,,33.254093643443845,0.0,-1.0,,0.04628705978393555,,,,-20.9478276241092,0.0,1.0,,,0.007864000000012084,3.0,,,,,,24.71875,,,0.0021631220268432116,15.40625,,0.16479995846748352,6.5819228367067035,-1.0,0.34716796875,0.0,,249.0,33.25841988749753,,92.12277664669816,,,,,0.464599609375,,0.4037909209728241,40.34375,,0.0,,0.0,18.0,,3.4285714626312256,,92.124939768725,1.0,,,,14.625,0.1576281040906906,,,-1.0,
162.021754,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.228516599999999,,,0.0,,,,,,,,,,,,0.013072999999991453,,,,,,,,,,,,,,,,,,,,,,,,,
162.022433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
162.021754,,30.625,11.428571701049805,12.4,,,,-1.0,0.188232421875,,,38.02552812967101,0.0,-1.0,,0.04628705978393555,,,,-20.9478276241092,0.0,1.0,,,0.006917000000015605,3.0,,,,,,29.0,,,-0.018377540561672845,15.40625,,0.16501358151435852,6.5819228367067035,-1.0,0.34716796875,0.0,,291.0,37.988773048547664,,92.14331730928667,,,,,0.464599609375,,0.31040170788764954,31.90625,,0.0,,0.0,20.0,,10.285714149475098,,92.124939768725,1.0,,,,14.625,0.1579027622938156,,,-1.0,
