TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
47.081229,0.0,0.0,0.19210475355361956,0.0,0.0,,0.0,,0.0,359.8078951642477,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.06578779220581055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.014119999999998356,0.2613924636303932,0.0,,,0.0,8.543307086614174,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.704907090708362,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.007495999999996172,,1.0,,0.0,6.39435069419565,,8.543307086614174,,0.0,0.0,0.0,-0.08622372692971858,0.0,,0.0,,,0.0,-2.1669454855441037,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.093027,0.0,0.0,0.3835609846212424,0.0,0.0,,0.0,-1.0,0.0,359.76027539353646,0.0,0.0,-0.45653041409904915,0.0,0.0,0.0,0.0,-0.8888887763023376,0.0,,,0.0,,0.0,0.0,113.78230535714286,0.0,-1.0,-0.8888887763023376,3.0,0.0,0.0,0.06578779220581055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.011797999999998865,0.259696746298543,0.0,0.0,,0.0,8.523622047244096,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7062622702688018,-0.0,12.75,-0.0,89.54346958590095,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.02513900000000291,12.542223876953125,1.0,,0.0,6.39435069419565,,8.523622047244096,1.0,0.0,0.0,0.0,-0.08723697514792386,0.0,-1.0,0.0,0.0,445.0,0.0,-2.1669454855441037,0.0,0.0,0.0,0.0,1.0,0.46944552659988403,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
47.122821,0.0,0.0,0.4818700383644889,0.0,0.0,,0.0,,0.0,0.09637291700256106,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.06578779220581055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.02979400000000254,0.25826450409285184,0.0,,,0.0,8.543307086614174,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7058549276558593,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.023412000000000432,,1.0,,0.0,6.39435069419565,,8.543307086614174,,0.0,0.0,0.0,-0.08801017418556473,0.0,,0.0,,,0.0,-2.1669454855441037,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.150394,0.0,0.0,0.5269522767960357,0.0,0.0,,0.0,,0.0,0.09580819883990266,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.06578779220581055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.02757299999999674,0.2564099608632956,0.0,,,0.0,8.523622047244096,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7080935893896811,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.030804000000003384,,1.0,,0.0,6.39435069419565,,8.523622047244096,,0.0,0.0,0.0,-0.08872542035662166,0.0,,0.0,,,0.0,-2.1669454855441037,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.192165,0.0,0.0,0.2405308704079826,0.0,0.0,,0.0,,0.0,359.663255749672,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.06578779220581055,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.04177100000000422,0.2581722417205504,0.0,,,0.0,8.46456692913386,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7105037400490221,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.012952999999995995,,1.0,,0.0,6.39435069419565,,8.46456692913386,,0.0,0.0,0.0,-0.09161738135450903,0.0,,0.0,,,0.0,-2.1669454855441037,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.214072,0.0,0.0,0.43222182766235656,0.0,0.0,,0.0,,0.0,359.6158035024476,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.09718179702758789,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.02190699999999879,0.2569389025276693,0.0,,,0.0,8.484251968503937,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7097342485349805,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.008853999999999473,,1.0,,0.0,5.05800974386185,,8.484251968503937,,0.0,0.0,0.0,-0.0918683280043874,0.0,,0.0,,,0.0,0.7811543425367957,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.233171,0.0,0.0,0.3848503422226953,0.0,0.0,,0.0,,0.0,359.8075758318946,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.09718179702758789,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.01909899999999709,0.2571420615130642,0.0,,,0.0,8.543307086614174,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.710528232906165,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.020340000000004466,,1.0,,0.0,5.05800974386185,,8.543307086614174,,0.0,0.0,0.0,-0.08943291574436178,0.0,,0.0,,,0.0,0.7811543425367957,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.26603,0.0,0.0,0.3367395391572996,0.0,0.0,,0.0,,0.0,359.6151540519567,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.09718179702758789,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.03285900000000197,0.25822162089305817,0.0,,,0.0,8.543307086614174,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7140133876802798,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.016441000000000372,,1.0,,0.0,5.05800974386185,,8.543307086614174,,0.0,0.0,0.0,-0.08716183752649373,0.0,,0.0,,,0.0,0.7811543425367957,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.289513,0.0,0.0,0.43259277173699734,0.0,0.0,,0.0,,0.0,359.8558035449986,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.09718179702758789,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.02348299999999881,0.2577258324191612,0.0,,,0.0,8.46456692913386,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7164687002810125,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.013272000000000617,,1.0,,0.0,5.05800974386185,,8.46456692913386,,0.0,0.0,0.0,-0.08558970257244987,0.0,,0.0,,,0.0,0.7811543425367957,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.309011,0.0,0.0,0.33618249201996314,0.0,0.0,,0.0,,0.0,359.9519741174578,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.07812952995300293,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.019497999999998683,0.2559789949715559,0.0,,,0.0,8.385826771653544,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.7182887769965194,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.010621000000000436,,1.0,,0.0,8.156236813192155,,8.385826771653544,,0.0,0.0,0.0,-0.08457429469431062,0.0,,0.0,,,0.0,0.5737748974402717,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
