TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,boolean,ft,ft,state,A,pct,state,cmd,boolean,
408.064883,,0.0,-0.0,11.7,,,,-1.0,0.18994140625,,,0.0,0.0,-1.0,,0.05120515823364258,,,,18.032576533018236,0.0,1.0,,,0.006990999999970882,0.0,,,,,,0.0,,,0.0,0.0,,0.0,6.5301730043469055,-1.0,0.344970703125,0.0,,109.0,0.0,,6.9321673654688345,,,,,0.465087890625,,0.3665788173675537,0.0,,0.0,,0.0,36.0,,0.0,,1.0,,,,0.0,0.0,,,-1.0,
408.072994,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.008110999999985324,,,,,,,,,,,,,,,,,,,,,,,,
408.073155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.072994,,0.0,-0.0,11.7,,,,-1.0,0.18994140625,,,0.0,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.006613000000015745,0.0,,,,,,0.0,,,0.0,0.0,,0.0,6.56871831574859,-1.0,0.344970703125,0.0,,150.0,0.0,,6.9321673654688345,,,,,0.465087890625,,0.4714248776435852,0.0,,0.0,,0.0,40.0,,0.0,,1.0,,,,0.0,0.0,,,-1.0,
408.081656,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.008662000000015269,,,,,,,,,,,,,,,,,,,,,,,,
408.082118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.081656,,0.0,-0.0,11.7,,,,-1.0,0.18994140625,,,9.94718394324346,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.004953000000000429,0.0,,,,,,0.0,,,0.0,0.0,,0.0,6.56871831574859,-1.0,0.344970703125,0.0,,191.0,9.94718394324346,,6.9321673654688345,,,,,0.465087890625,,0.3393290638923645,0.0,,0.0,,0.0,44.0,,0.0,,1.0,,,,0.0,0.0,,,-1.0,
408.097078,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.136963875,,,0.0,,,,,,,,,,,,0.015422000000000935,,,,,,,,,,,,,,,,,,,,,,,,
408.097244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.097078,,0.0,-0.0,11.7,,,,-1.0,0.18994140625,,,13.130282805081364,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.005920000000003256,0.0,,,,,,0.0,,,0.0,0.0,,0.021881772205233574,6.56871831574859,-1.0,0.344970703125,0.0,,232.0,13.130282805081364,,6.9321673654688345,,,,,0.465087890625,,0.31585693359375,0.0,,0.0,,0.0,48.0,,0.0,,1.0,,,,0.0,0.021881772205233574,,,-1.0,
408.117079,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.020000999999979285,,,,,,,,,,,,,,,,,,,,,,,,
408.117245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.117079,,0.1875,-0.0,11.7,,,,-1.0,0.18994140625,,,15.517606951459804,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.006404000000031829,0.0,,,,,,0.25,,,0.0,0.03125,,0.028870509937405586,6.56871831574859,-1.0,0.344970703125,0.0,,273.0,15.517606951459804,,6.9321673654688345,,,,,0.465087890625,,0.3232308328151703,0.25,,0.0,,0.0,52.0,,0.0,,1.0,,,,0.0,0.028870509937405586,,,-1.0,
408.137666,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.02058700000003455,,,,,,,,,,,,,,,,,,,,,,,,
408.138034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.137666,,0.0,-0.0,11.600000000000001,,,,-1.0,0.18994140625,,,17.90493109783823,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.0049769999999966785,0.0,,,,,,0.0,,,0.0,0.0,,0.03411969542503357,6.56871831574859,-1.0,0.344970703125,0.0,,314.0,17.90493109783823,,6.9321673654688345,,,,,0.465087890625,,0.32573971152305603,0.0,,0.0,,0.0,56.0,,0.5714285969734192,,1.0,,,,0.0,0.03411969542503357,,,-1.0,
408.162504,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.02483799999998837,,,,,,,,,,,,,,,,,,,,,,,,
408.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.162504,,0.0625,1.1428571939468384,11.600000000000001,,,,-1.0,0.18994140625,,,20.292255244216665,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.005423000000007505,0.0,,,,,,0.03125,,,0.0,0.0,,0.0393688790500164,6.56871831574859,-1.0,0.344970703125,0.0,,38.0,20.292255244216665,,6.9321673654688345,,,,,0.465087890625,,0.35089173913002014,0.0625,,0.0,,0.0,60.0,,2.2857143878936768,,1.0,,,,0.0,0.03411969542503357,,,-1.0,
408.177787,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.015283000000010816,,,,,,,,,,,,,,,,,,,,,,,,
408.178413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.177787,,0.0625,2.857142925262451,11.600000000000001,,,,-1.0,0.18994140625,,,22.679579390595073,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.007058999999969728,0.0,,,,,,0.03125,,,0.0,0.0625,,0.04461806267499924,6.56871831574859,-1.0,0.344970703125,0.0,,79.0,22.679579390595073,,6.9321673654688345,,,,,0.465087890625,,0.3248468339443207,0.0625,,0.0,,0.0,48.0,,2.2857143878936768,,1.0,,,,0.0,0.04461806267499924,,,-1.0,
408.197318,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.01953099999997221,,,,,,,,,,,,,,,,,,,,,,,,
408.19761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.197318,,0.0,2.857142925262451,11.600000000000001,,,,-1.0,0.18994140625,,,25.066903536973516,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.005031000000030872,0.0,,,,,,0.0,,,0.0,0.0,,0.04461806267499924,6.56871831574859,-1.0,0.344970703125,0.0,,120.0,25.066903536973516,,6.9321673654688345,,,,,0.465087890625,,0.33559340238571167,0.0,,0.0,,0.0,52.0,,2.2857143878936768,,1.0,,,,0.0,0.04986724629998207,,,-1.0,
408.217305,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.019987000000014632,,,,,,,,,,,,,,,,,,,,,,,,
